name,parent_category_id,price,unique_id,url
Quick Step - Système de rail pour fixation des plinthes en 77mm de haut (QSPSKR),,"1,66 €",B-NETRACK,https://boutique-parquet.com/quick-step-systeme-de-rail-pour-fixation-des-plinthes-qspskr.html
QSVSTPINGLUE - Quickstep - Vinyle - 25 x 25 x 2000 mm - Profilé d'Escalier angle rentrant pour vinyl à coller,,"24,38 €",B-QSVSTPINGLUE,https://boutique-parquet.com/qsvstpinglue-quickstep-vinyle-25-x-25-2000-mm-profile-d-escalier-coin-interieur-a-coller.html
Plinthe massif Chêne de l'Est profil carré (70 mm x 16 mm) assortie au colori,,"16,96 €",B-CDE-PLI70C,https://boutique-parquet.com/plinthe-massif-chene-de-l-est-profil-carre-70-mm-x-16-mm-assortie-au-colori.html
Quick Step - Système de clipsage pour plinthes standard en 58 mm (QSSK) compatible gamme stratifié 7 ou 8 mm,,"29,82 €",B-QSCLIPSKME7080A,https://boutique-parquet.com/quick-step-systeme-de-clipsage-pour-plinthes-standard.html
QSVSTPGLUE - Quickstep - Vinyle - 2000 x 26 x 40mm - Profilé nez de marche d'Escalier angle sortant à Coller,,"24,38 €",B-QSVSTPGLUE,https://boutique-parquet.com/qsvstpglue-quickstep-vinyle-26-x-40-mm-profile-d-escalier-coin-exterieur-a-coller.html
Plinthe bois massif 100x14 mm - chêne rustique brut (au ml),,"17,40 €",B-OBD0201016,https://boutique-parquet.com/plinthe-bois-massif-100x14-mm-chene-rustique-brut-au-ml.html
Profilé de jonction pour sols vinyl - argile 2000 X 34 X 7,,"44,86 €",B-NEVEXPCLAY,https://boutique-parquet.com/profile-de-jonction-pour-sols-vinyl-argile-2000-x-34-x-7.html
Profilé de bordure pour sols vinyl - argile 2000 X 24 X 7,,"44,86 €",B-NEVENPCLAY,https://boutique-parquet.com/profile-de-bordure-pour-sols-vinyl-cafe-2000-x-24-x-8.html
Profilé de bordure pour sols vinyl - champagne 2000 X 24 X 7,,"44,86 €",B-NEVENPCHAM,https://boutique-parquet.com/profile-de-bordure-pour-sols-vinyl-champagne-2000-x-24-x-7.html
"Quick Step - Système de clipsage pour plinthes standard 58 mm (QSSK) compatible gamme stratifié CAPTURE, LARGO et MAJESTIC",,"29,82 €",B-QSCLIPSKME95A,https://boutique-parquet.com/quick-step-systeme-de-clipsage-pour-plinthes-standard-9mm.html
Profilé de jonction pour sols vinyl - champagne 2000 X 34 X 7,,"44,86 €",B-NEVEXPCHAM,https://boutique-parquet.com/profile-de-jonction-pour-sols-vinyl-champagne-2000-x-34-x-7.html
Profilé de bordure pour sols vinyl - café 2000 X 24 X 7,,"44,86 €",B-NEVENPCOFF,https://boutique-parquet.com/profile-de-bordure-pour-sols-vinyl-cafe-2000-x-24-x-7.html
Profilé de bordure pour sols vinyl - argent 2000 X 24 X 7,,"44,86 €",B-NEVENPSILV,https://boutique-parquet.com/profile-de-bordure-pour-sols-vinyl-argent-2000-x-24-x-7.html
Profilé d'adaptation pour sols vinyl champagne 2000 X 38 X 7,,"44,86 €",B-NEVADPCHAM,https://boutique-parquet.com/profile-d-adaptation-pour-sols-vinyl-champagne-2000-x-38-x-7.html
Profilé de jonction pour sols vinyl - café 2000 X 34 X 7,,"44,86 €",B-NEVEXPCOFF,https://boutique-parquet.com/profile-de-jonction-pour-sols-vinyl-cafe-2000-x-34-x-7.html
QSVSCOT - Quickstep - (2400 x 17 x 17 mm) Moulure vinyle assortie au colori,,"4,54 €",B-QSVSCOT(-),https://boutique-parquet.com/qsvscot-quickstep-2400-x-17-x-17-mm-moulure-vinyle-assortie-au-colori.html
Profilé d'adaptation pour sols vinyl argent 2000 X 38 X 7,,"44,86 €",B-NEVADPSILV,https://boutique-parquet.com/profile-d-adaptation-pour-sols-vinyl-argent-2000-x-38-x-7.html
NEVRADPSILV - Quickstep - Livyn - 8.5 x 31 x 2000 mm - Profilé de Transition - Livyn,,"30,14 €",B-NEVRADPSILV,https://boutique-parquet.com/nevradpsilv-quickstep-livyn-8-5-x-31-x-2000-mm-profile-de-transition-livyn.html
Profilé d'adaptation pour sols vinyl café 2000 X 38 X 7,,"44,86 €",B-NEVADPCOFF,https://boutique-parquet.com/profile-d-adaptation-pour-sols-vinyl-cafe-2000-x-38-x-7.html
Profilé d'adaptation pour sols vinyl argile 2000 X 38 X 7,,"44,86 €",B-NEVADPCLAY,https://boutique-parquet.com/profile-d-adaptation-pour-sols-vinyl-argile-2000-x-38-x-7.html
Profilé de jonction pour sols vinyl - argent 2000 X 34 X 7,,"44,86 €",B-NEVEXPSILV,https://boutique-parquet.com/nevexpsilv-profile-de-jonction-pour-sols-vinyl-argent-2000-x-34-x-7.html
L'outil Parfait - Monture montage rapide 180 mm,,"2,99 €",B-967580,https://boutique-parquet.com/l-outil-parfait-monture-montage-rapide-180-mm.html
Plinthe HYDRO résistante à l'eau à peindre - Polystyrène - 2400 X 13 X 38 MM,,"5,96 €",B-QSHSK38PAINT,https://boutique-parquet.com/plinthe-resistante-a-l-eau-a-peindre-polystyrene-2400-x-13-x-38-mm.html
L'outil Parfait - Rouleau Clip 250 mm (Produits en phase aqueuse),,"10,02 €",B-988250,https://boutique-parquet.com/l-outil-parfait-rouleau-clip-250-mm-produits-en-phase-aqueuse.html
Garden Lights - Détecteur De Mouvement 12V,,"44,99 €",B-6156011,https://boutique-parquet.com/garden-lights-detecteur-de-mouvement-12v.html
Garden Lights - Diviseur de câbles muni de 3 raccords étanches (max 150W),,"8,34 €",B-6006011,https://boutique-parquet.com/garden-lights-spt-2w-cable-diviseur-3-raccords-etanches.html
Garden Lights - Transformateur 12V 60W,,"45,90 €",B-6210011,https://boutique-parquet.com/garden-lights-transformateur-12v-60w.html
Rubio Monocoat - Easy Déco,,"79,12 €",B-easydeco,https://boutique-parquet.com/rubio-monocoat-easy-deco.html
Garden Lights - Transformateur 12V 150W,,"86,90 €",B-6211011,https://boutique-parquet.com/garden-lights-transformateur-12v-150w.html
Rubio  - Invisible Protector - 1L,,"38,40 €",B-R001266,https://boutique-parquet.com/rubio-monocoat-invisible-protector-1l.html
Rubio Monocoat - Oil Plus 2C - 100ml,,"22,42 €",B-rubio-oil-plus-2c-100ml,https://boutique-parquet.com/rubio-monocoat-oil-plus-2c-100ml.html
Sogal - Bloc-porte intérieure ESSENTIA,,"299,90 €",B-bp-essentia,https://boutique-parquet.com/sogal-bloc-porte-interieure-essentia.html
Rubio Monocoat - Accélérateur Comp B ,,"16,58 €",B-accelerateurb,https://boutique-parquet.com/rubio-monocoat-accelerateur-comp-b.html
Garden Lights - Transformateur 12V 24W,,"18,98 €",B-6270011,https://boutique-parquet.com/garden-lights-transformateur-12v-24w.html
IM1847 - Quick step - Impressive - Chêne classique beige,,"26,95 €",B-IM1847,https://boutique-parquet.com/im1847-quick-step-impressive-chene-classique-beige.html
Rubio Monocoat - Invisible Protector - 5L,,"166,50 €",B-R003317,https://boutique-parquet.com/rubio-monocoat-invisible-protector-5l.html
Rubio Monocoat - Universal Maintenance Oil - Pure - 100 ml,,"21,50 €",B-R003347,https://boutique-parquet.com/rubio-monocoat-universal-maintenance-oil-pure-100-ml.html
Parquetvinyl - Lame PVC Bâton Rompu avec sous-couche intégrée - Sava Sand,,"40,82 €",B-SAV-HB-2253-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-baton-rompu-sava-sand.html
Rubio Monocoat - Pâte à bois - Woodfiller Quick,,"11,16 €",B-woodfiller-quick,https://boutique-parquet.com/rubio-monocoat-pate-a-bois-woodfiller-quick.html
Haro Parquet - À l'anglaise série 4000 - Chêne Trend brossé vernis mat  - naturaDur,,"65,90 €",B-535416,https://boutique-parquet.com/haro-parquet-a-l-anglaise-serie-4000-chene-blanc-puro-favorit-11.html
Eclairage Owlia - Spot SOFIA Blanc - Ø45mm - DC 12V,,"13,42 €",B-0819,https://boutique-parquet.com/eclairage-owlia-spot-sofia-blanc-o45mm-dc-12v.html
Parquetvinyl - Lame PVC Bâton Rompu - Yukon Mistral,,"47,09 €",B-YUK-HB-2631-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-baton-rompu-yukon-mistral.html
Parquetvinyl - Lame PVC Bâton Rompu - Yukon Tan,,"47,09 €",B-YUK-HB-2621-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-baton-rompu-yukon-tan.html
Parquetvinyl - Lame PVC Bâton Rompu - Yukon Smoked Grey,,"47,09 €",B-YUK-HB-2630-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-baton-rompu-yukon-smocked-grey.html
Parquetvinyl - Lame PVC Bâton Rompu - Yukon Desert Dune,,"47,09 €",B-YUK-HB-2626-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-baton-rompu-yukon-desert-dune.html
Parquetvinyl - Lame PVC avec sous-couche intégrée- Yukon Smoked Grey,,"40,90 €",B-YUK-2630-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-yukon-smoked-grey.html
Parquetvinyl - Lame PVC avec sous-couche intégrée - Mantaro Inca,,"47,50 €",B-MAN-5616-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-mantaro-inca.html
Parquetvinyl - Lame PVC Bâton Rompu avec sous-couche intégrée- Sava Almond,,"40,82 €",B-SAV-HB-2254-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-baton-rompu-sava-almond.html
Parquetvinyl - Lame PVC avec sous-couche intégrée - Mantaro Spice,,"47,50 €",B-MAN-5620-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-mantaro-spice.html
Parquetvinyl - Lame PVC avec sous-couche intégrée - Mantaro Fossil,,"47,50 €",B-MAN-5611-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-mantaro-fossil.html
Parquetvinyl - Lame PVC avec sous-couche intégrée - Mantaro Pecan,,"47,50 €",B-MAN-5619-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-mantaro-pecan.html
Parquetvinyl - Lame PVC avec sous-couche intégrée- Yukon Mistral,,"40,90 €",B-YUK-2631-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-yukon-mistral.html
Parquetvinyl - Lame PVC avec sous-couche intégrée- Yukon Beach,,"40,90 €",B-YUK-2625-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-yukon-beach.html
Parquetvinyl - Lame PVC avec sous-couche intégrée - Ivalo Roasted Bean,,"37,61 €",B-IVA-2703-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-ivalo-roasted-bean.html
Parquetvinyl - Lame PVC avec sous-couche intégrée- Yukon Tan,,"40,90 €",B-YUK-2621-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-yukon-tan.html
Parquetvinyl - Lame PVC avec sous-couche intégrée- Yukon Desert Dune,,"40,90 €",B-YUK-2626-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-yukon-desert-dune.html
Parquetvinyl - Lame PVC avec sous-couche intégrée - Mantaro Hay,,"47,50 €",B-MAN-5614-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-mantaro-hay.html
