is_page_list,name,parent_category_id,unique_id,url
True,primaire fond dur,bf6d765b-638a-4c21-a8e2-67b628d190c4,20427c50-5a8d-455d-b401-540ce9eb51fc,https://boutique-parquet.com/finition/primaire-fond-dur
True,teintes parquets - boiseries,bf6d765b-638a-4c21-a8e2-67b628d190c4,ccb1c319-5a54-40a7-bc5a-8f62a206fbf1,https://boutique-parquet.com/finition/teintes-parquets-boiseries
True,vernis bois,bf6d765b-638a-4c21-a8e2-67b628d190c4,88a55b67-6cbc-4d0d-b9f2-183a9f2ff40c,https://boutique-parquet.com/finition/vernis-bois
True,vitrificateurs et fonds durs,bf6d765b-638a-4c21-a8e2-67b628d190c4,ac61c65e-0026-442e-8558-78bda33019c2,https://boutique-parquet.com/finition/vitrificateurs
True,mastic - pâtes à bois,bf6d765b-638a-4c21-a8e2-67b628d190c4,e1c5fd97-dc16-4dfc-b6da-db007cf8bc8f,https://boutique-parquet.com/finition/mastic-pates-a-bois
True,produits bio,bf6d765b-638a-4c21-a8e2-67b628d190c4,7eac5e60-c6e8-442c-96a3-49d6a5606887,https://boutique-parquet.com/finition/produits-de-finition-bio
False,marques,ROOT_CATEGORY,afe60c7e-1847-4eed-9443-2f5ea4e42c15,https://boutique-parquet.com/marques
True,algimouss,afe60c7e-1847-4eed-9443-2f5ea4e42c15,fa409950-48ec-4d52-8feb-52d1803b05ef,https://boutique-parquet.com/marques/algimouss
True,alsapan / la parqueterie berrichonne,afe60c7e-1847-4eed-9443-2f5ea4e42c15,98a2dbdb-a9ad-44fe-be8d-248c3dd37cb2,https://boutique-parquet.com/marques/alsapan-parqueterie-berrichonne
True,biorox,afe60c7e-1847-4eed-9443-2f5ea4e42c15,90ece74a-44d4-4cb1-899b-d0023fd1bc47,https://boutique-parquet.com/marques/biorox
True,blanchon,afe60c7e-1847-4eed-9443-2f5ea4e42c15,40618e4e-f9d2-4f74-becb-0011fba6486d,https://boutique-parquet.com/marques/blanchon
True,bona,afe60c7e-1847-4eed-9443-2f5ea4e42c15,b5c54617-eb3f-4986-b068-7b3e1e371225,https://boutique-parquet.com/marques/bona
True,cabbani,afe60c7e-1847-4eed-9443-2f5ea4e42c15,d669af48-d4e1-4923-adb2-0b9a712df45a,https://boutique-parquet.com/marques/cabbani
True,chêne de l'est,afe60c7e-1847-4eed-9443-2f5ea4e42c15,887b2ea9-3d62-4fa8-9f15-f27fb29837d3,https://boutique-parquet.com/marques/chene-de-l-est
