name,parent_category_id,promotional_price,regular_price,stock_keeping_unit,url
sig4754 - stratifié quick step - capture - chêne peint rose,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4754,https://boutique-parquet.com/sol-stratifie-signature-chene-peint-rose.html
sig4755 - stratifié quick step - capture - chêne peint noir,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4755,https://boutique-parquet.com/sol-stratifie-signature-chene-peint-noir.html
sig4753 - stratifié quick step - capture - chêne peint blanc,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4753,https://boutique-parquet.com/sol-stratifie-signature-chene-peint-blanc.html
sig4763 -stratifié quick step - capture - chêne nature brossé,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4763,https://boutique-parquet.com/sol-stratifie-signature-chene-nature-brosse.html
sig4748 - stratifié quick step - capture - chêne patiné doux,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4748,https://boutique-parquet.com/sol-stratifie-signature-chene-patine-doux.html
sig4767 - stratifié quick step - capture - chêne nature gercé,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4767,https://boutique-parquet.com/sol-stratifie-signature-chene-nature-gerce.html
sig4751 - stratifié quick step - capture - chêne patiné brun,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4751,https://boutique-parquet.com/sol-stratifie-signature-chene-patine-brun.html
sig4766 - stratifié quick step - capture - chêne brun brossé,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4766,https://boutique-parquet.com/sol-stratifie-signature-chene-brun-brosse.html
sig4765 - stratifié quick step - capture - chêne gris brossé,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4765,https://boutique-parquet.com/sol-stratifie-signature-chene-gris-brosse.html
sig4757 - stratifié quick step - capture - chêne blanc premium,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4757,https://boutique-parquet.com/sol-stratifie-signature-chene-blanc-premium.html
sig4764 - stratifié quick step - capture - chêne beige brossé,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4764,https://boutique-parquet.com/sol-stratifie-signature-chene-beige-brosse.html
sol stratifié - muse - ardoise grise,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,35.95 €,39.95 €,B-MUS5493,https://boutique-parquet.com/sol-stratifie-muse-ardoise-grise.html
haro sol stratifié tritty 200 aqua tuile béton clair,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,44.99 €,51.90 €,B-545183,https://boutique-parquet.com/haro-sol-stratifie-tritty-200-aqua-tuile-beton-clair.html
haro sol stratifié tritty 200 aqua tuile béton foncé,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,44.99 €,51.90 €,B-545184,https://boutique-parquet.com/haro-sol-stratifie-tritty-200-aqua-tuile-beton-fonce.html
sig4762 - stratifié quick step - capture - chêne nature brossé chaud,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4762,https://boutique-parquet.com/sol-stratifie-signature-chene-nature-brosse-chaud.html
sig4756 - stratifié quick step - capture - chêne ciré brun,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4756,https://boutique-parquet.com/sol-stratifie-signature-chene-cire-brun.html
sol stratifié - muse - béton botanique,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,35.95 €,39.95 €,B-MUS5494,https://boutique-parquet.com/sol-stratifie-muse-beton-botanique.html
sol stratifié - muse - béton teinté,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,35.95 €,39.95 €,B-MUS5491,https://boutique-parquet.com/sol-stratifie-muse-beton-teinte.html
sol stratifié - muse - terre cuite,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,35.95 €,39.95 €,B-MUS5490,https://boutique-parquet.com/sol-stratifie-muse-terre-cuite.html
sol stratifié - muse - gris ciment,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,35.95 €,39.95 €,B-MUS5488,https://boutique-parquet.com/sol-stratifie-muse-gris-ciment.html
sol stratifié - muse - craie,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,35.95 €,39.95 €,B-MUS5487,https://boutique-parquet.com/sol-stratifie-muse-pierre-craie.html
sol stratifié - muse - pierre calcaire,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,35.95 €,39.95 €,B-MUS5486,https://boutique-parquet.com/sol-stratifie-muse-pierre-calcaire.html
sol stratifié - muse - ardoise noire,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,35.95 €,39.95 €,B-MUS5492,https://boutique-parquet.com/sol-stratifie-muse-ardoise-noire.html
parquet stratifié - tritty 90 - chêne savona nature,CATEGORY_sols-stratifies_lames-parquets-classiques,21.90 €,25.96 €,B-538649,https://boutique-parquet.com/parquet-stratifie-tritty-90-chene-savona-nature.html
sol stratifié - muse - pierre bleue fumée,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,35.95 €,39.95 €,B-MUS5484,https://boutique-parquet.com/sol-stratifie-muse-pierre-bleue-fumee.html
parquet stratifié - tritty 90 - chêne melina puro,CATEGORY_sols-stratifies_lames-parquets-classiques,21.90 €,25.96 €,B-535238,https://boutique-parquet.com/parquet-stratifie-tritty-90-chene-melina-puro.html
